States,x,y
Jammu and kashmir,-93.0,257.0
Himachal pradesh,-90.0,203.0
Punjab,-120.0,188.0
Uttarakhand,-57.0, 174.0
Haryana,-106.0,161.0
Delhi,-94.0,143.0
Rajsthan,-154.0, 116.0
Uttar Pradesh,-29.0, 114.0
Bihar,63.0, 80.0
Jharkhand,60.0, 30.0
West Bengal,100.0 ,36.0
Sikkim,110.0, 122.0
Assam,157.0 ,96.0
Arunachal Pradesh,218.0, 136.0
Mizoram,190.0 ,47.0
Tripura,170.0 ,45.0
Manipur,210.0, 70.0
Nagaland,220.0, 99.0
Orissa,31.0 ,-22.0
Chattishgarh,-9.0, 9.0
Maharastra,-138.0 ,-38.0
Gujarat,-199.0 ,38.0
Kerala,-124.0, -219.0
Tamilnaidu,-82.0 ,-203.0
Andhra Pradesh,-65.0 ,-98.0
Karnataka,-142.0 ,-124.0
Maharastra,-131.0, -40.0
Lakshdweep,-220.0 ,-197.0
Andman,204.0 ,-173.0
Puducherry,-58.0 ,-191.0
Madhya Pradesh,-65.0, 23.0
